Date,Symbol,Open,High,Low,Close,Volume,Sigma
1960-01-01,SYNTH,200.0,200.0,200.0,200.0,500,0.008
1960-01-04,SYNTH,199.29847264637948,203.40095367079425,196.9150876196298,201.01756864404456,585,0.008
1960-01-05,SYNTH,200.96314572507552,201.91871917662212,200.89991515748545,201.85548860903205,544,0.008
1960-01-06,SYNTH,201.43532812311466,206.14719991016028,198.905651729985,203.61752351703063,607,0.008
1960-01-07,SYNTH,204.37416689046296,206.01655471667698,203.60291424969657,205.2453020759106,542,0.008
1960-01-08,SYNTH,204.57603577583944,206.9944897200315,204.27373164164055,206.69218558583262,602,0.015
1960-01-11,SYNTH,206.73711371436804,209.47300181100158,205.1130860022403,207.84897409887384,553,0.008
1960-01-12,SYNTH,207.61160272016213,208.63398606004324,205.01041367077622,206.03279701065733,576,0.008
1960-01-13,SYNTH,205.56509946139468,208.87305109943324,204.1265624708659,207.43451410890447,590,0.015
1960-01-14,SYNTH,207.50732995090598,210.99690331193617,204.92565054812675,208.41522390915694,543,0.008
1960-01-15,SYNTH,207.81939965216168,208.29576399091505,207.4385830042083,207.91494734296168,504,0.015
1960-01-18,SYNTH,207.95060901137487,213.49140343747334,202.30773352211943,207.8485279482179,504,0.008
1960-01-19,SYNTH,207.6450601869495,217.2383196330277,195.59216825671058,205.18542770278876,619,0.015
1960-01-20,SYNTH,204.97929905620373,208.5643812687752,204.6815855102387,208.26666772281018,659,0.008
1960-01-21,SYNTH,207.31761877310834,207.88532179656133,206.73220904789645,207.29991207134944,500,0.008
1960-01-22,SYNTH,207.37052053684624,229.65382040509598,185.66987488502124,207.95317475327099,528,0.015
1960-01-25,SYNTH,208.0734414666471,208.65709984141688,206.2406910956129,206.82434947038269,560,0.008
1960-01-26,SYNTH,206.88854533236113,209.6520832099039,202.89786706974985,205.66140494729262,559,0.008
1960-01-27,SYNTH,205.79799434773267,208.23400247406587,202.13515133250752,204.57115945884073,559,0.008
1960-01-28,SYNTH,204.35285661920497,206.51009065767295,202.29341532539325,204.45064936386123,504,0.008
1960-01-29,SYNTH,204.83260799251605,213.9908708245805,200.89048753039376,210.0487503624582,751,0.015
1960-02-01,SYNTH,209.96405940634173,211.64353753062588,205.98045507827882,207.65993320256297,610,0.008
1960-02-02,SYNTH,207.87401223845893,208.7420970388303,206.09818538298123,206.9662701833526,543,0.008
1960-02-03,SYNTH,207.1205921733464,209.5963175517289,204.1054916675946,206.5812170459771,526,0.008
1960-02-04,SYNTH,206.64812001359644,206.6665370787283,204.592342046393,204.61075911152486,599,0.015
1960-02-05,SYNTH,204.34740778203684,205.17393049062085,201.5073077078345,202.33383041641852,599,0.008
1960-02-08,SYNTH,202.0099546981857,205.6749813807439,201.61127603797277,205.27630272053096,660,0.015
1960-02-09,SYNTH,205.8401026223196,211.99978302100521,196.49961973848534,202.65930013717096,655,0.008
1960-02-10,SYNTH,202.54842724866458,206.39870243237726,201.6191113620166,205.4693865457293,643,0.008
1960-02-11,SYNTH,204.88971017473074,205.40058785372435,201.08212836007527,201.59300603906888,662,0.008
1960-02-12,SYNTH,201.74570585732155,201.7765435424826,199.47892077209926,199.50975845726032,611,0.008
1960-02-15,SYNTH,199.16173430249646,202.2811006043576,192.78445596141336,195.9038222632745,664,0.008
1960-02-16,SYNTH,196.00570382047312,197.9292104579316,194.62117962719208,196.54468626465055,527,0.008
1960-02-17,SYNTH,196.5426082902613,198.0415530600911,194.46900991851015,195.96795468833994,529,0.008
1960-02-18,SYNTH,196.63170559314756,197.16195460594145,195.52733092764475,196.05757994043864,529,0.008
1960-02-19,SYNTH,196.3521017094717,196.60875212582292,193.96646409642486,194.22311451277608,609,0.008
